* ******************************************************************************

* iCEcube Pin Table

* Version:            2015.04.27409

* Build Date:         May 27 2015 15:59:13

* File Generated:     Feb 6 2017 17:38:54

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, gpio_pin[20], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, leftBank
2, PIO, sram_a[9], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
3, PIO, sram_a[8], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
4, PIO, sram_a[7], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, rsvd[0], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, leftBank
8, PIO, rsvd[1], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, leftBank
9, PIO, sram_a[6], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
10, PIO, sram_a[5], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
11, PIO, sram_we_l, Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
12, PIO, not used, , , , , , leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, not used, , , , , , leftBank
16, PIO, not used, , , , , , leftBank
17, PIO, not used, , , , , , leftBank
18, PIO, not used, , , , , , leftBank
19, PIO, not used, , , , , , leftBank
20, PIO_GBIN, not used, , , , , , leftBank
21, PIO_GBIN, not used, , , , , , leftBank
22, PIO, not used, , , , , , leftBank
23, PIO, rsvd[5], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
24, PIO, sram_ce_l, Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, leftBank
25, PIO, sram_a[4], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
26, PIO, rsvd[2], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, rsvd[3], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, leftBank
29, PIO, rsvd[4], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, sram_a[3], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
32, PIO, sram_a[2], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
33, PIO, sram_a[1], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
